participant_id	study_week	richness
U127	week1	148
U127	week3	142
U128	week1	122
U128	week3	116
U129	week1	129
U129	week3	97
U131	week1	153
U131	week3	151
U132	week1	96
U132	week3	87
U149	week1	126
U149	week3	103
U150	week1	112
U150	week3	110
U151	week1	116
U151	week3	126
U152	week1	138
U152	week3	140
U153	week1	129
U153	week3	105
U161	week1	109
U161	week3	107
U162	week1	119
U162	week3	134
U165	week1	126
U165	week3	100
U166	week3	138
U184	week1	114
U184	week3	103
U185	week1	158
U185	week3	160
U186	week1	117
U186	week3	118
U188	week1	147
U188	week3	124
U202	week1	148
U202	week3	123
U214	week1	95
U214	week3	99
U223	week1	135
U224	week1	123
U224	week3	145
U227	week1	92
U227	week3	94
U231	week1	115
U231	week3	108
U247	week1	130
U247	week3	133
U248	week1	139
U248	week3	134
U249	week1	109
U249	week3	101
U250	week1	87
U250	week3	84
U259	week3	140
U261	week1	122
U261	week3	108
U262	week1	94
U268	week1	110
U268	week3	105
U269	week1	145
U269	week3	109
U271	week1	141
U271	week3	128
U273	week1	125
U273	week3	110
U276	week1	106
U276	week3	103
U282	week1	72
U282	week3	72
U286	week1	126
U286	week3	113
U291	week1	98
U291	week3	92
U296	week1	116
U296	week3	98
U300	week1	139
U300	week3	120
U500	week1	85
U500	week3	80
U501	week1	87
U501	week3	94
U502	week1	120
U502	week3	107
U507	week1	94
U507	week3	98
U509	week1	138
U509	week3	134
U510	week1	93
U510	week3	92
U511	week1	145
U511	week3	148
U516	week1	124
U516	week3	88
U517	week1	87
U517	week3	84
U518	week1	115
U518	week3	91
U519	week1	93
U519	week3	92
U520	week1	126
U520	week3	118
U521	week1	83
U521	week3	89
U523	week1	102
U523	week3	107
U524	week1	139
U524	week3	97
U525	week1	123
U525	week3	127
U526	week1	117
U526	week3	95
U529	week1	86
U529	week3	92
U530	week1	115
U530	week3	113
U532	week1	128
U532	week3	118
U535	week1	109
U535	week3	100
U536	week1	109
U536	week3	121
U541	week3	121
U542	week1	103
U542	week3	94
U543	week1	109
U543	week3	99
U545	week1	139
U545	week3	138
U546	week1	113
U546	week3	107
U574	week1	114
U574	week3	136
U581	week1	98
U581	week3	86
