participant_id	study_week	simpson_cal
U296	week1	0.79672804690736
U296	week3	0.8280190913524034
U502	week1	0.9469176474439728
U502	week3	0.898123806870494
U517	week1	0.9041767035849982
U517	week3	0.8901712126996324
U519	week1	0.9180069737441451
U519	week3	0.9158350194971306
U524	week1	0.8712732558539247
U524	week3	0.7416088948162375
U526	week1	0.9300206851288797
U526	week3	0.9087166121954933
U546	week1	0.884265822328318
U546	week3	0.9235182022017592
U615	week1	0.9070797776749444
U615	week3	0.9139511494832387
U727	week1	0.8694073988761101
U727	week3	0.8575439025323865
U745	week1	0.9398756161764251
U745	week3	0.9393720974716524
U758	week1	0.9032300262283363
U758	week3	0.8716027966505965
U776	week1	0.8205191952662723
U776	week3	0.9058040810313803
U779	week1	0.9588205087931211
U779	week3	0.9330339927281466
U786	week1	0.9475467505267036
U786	week3	0.9381051140349199
