participant_id_week	richness
U042_week1	102
U042_week3	119
U044_week3	157
U046_week3	95
U048_week3	99
U050_week3	120
U051_week1	128
U052_week1	91
U052_week3	94
U053_week1	74
U054_week1	132
U054_week3	130
U056_week1	100
U057_week3	88
U058_week1	116
U059_week3	106
U061_week1	166
U062_week1	121
U062_week3	135
U063_week1	167
U063_week3	174
U064_week1	162
U064_week3	176
U065_week3	121
U066_week1	131
U066_week3	133
U067_week1	143
U067_week3	151
U068_week1	122
U068_week3	163
U070_week1	90
U070_week3	90
U072_week3	133
U073_week1	116
U075_week3	140
U076_week1	101
U076_week3	118
U077_week1	140
U077_week3	119
U078_week3	112
U080_week3	137
U082_week1	105
U082_week3	123
U083_week1	145
U083_week3	152
U084_week1	98
U085_week1	153
U086_week1	125
U086_week3	125
U087_week1	87
U088_week1	92
U089_week3	100
U091_week1	99
U092_week1	92
U092_week3	76
U093_week1	121
U093_week3	125
U094_week1	136
U094_week3	145
U096_week3	79
U097_week1	95
U097_week3	97
U098_week1	105
U098_week3	111
U099_week1	85
U099_week3	109
U100_week3	82
U101_week3	131
U102_week1	171
U103_week1	141
U105_week1	139
U105_week3	106
U107_week1	117
U107_week3	112
U108_week1	91
U108_week3	142
U109_week3	163
U112_week1	139
U112_week3	142
U113_week1	121
U113_week3	115
U114_week1	147
U114_week3	149
U116_week1	154
U117_week1	58
U117_week3	62
U118_week3	99
U119_week1	143
U119_week3	126
U120_week1	85
U121_week1	96
U121_week3	109
U122_week1	139
U122_week3	115
U123_week1	133
U124_week1	100
U124_week3	75
U125_week1	134
U125_week3	138
U126_week1	107
U127_week1	148
U127_week3	142
U128_week1	122
U128_week3	116
U129_week1	129
U129_week3	97
U130_week1	113
U131_week1	153
U131_week3	151
U132_week1	96
U132_week3	87
U133_week3	139
U134_week1	128
U135_week1	111
U135_week3	123
U136_week1	104
U136_week3	90
U137_week1	164
U137_week3	128
U138_week1	104
U138_week3	106
U139_week1	93
U139_week3	107
U140_week1	68
U141_week1	159
U141_week3	181
U142_week1	116
U143_week1	113
U143_week3	139
U144_week1	100
U145_week1	104
U145_week3	99
U146_week1	85
U147_week1	130
U147_week3	130
U148_week1	92
U149_week1	126
U149_week3	103
U150_week1	112
U150_week3	110
U151_week1	116
U151_week3	126
U152_week1	138
U152_week3	140
U153_week1	129
U153_week3	105
U154_week1	48
U154_week3	51
U155_week1	99
U155_week3	110
U156_week1	94
U157_week1	164
U157_week3	149
U158_week1	140
U158_week3	94
U159_week1	174
U159_week3	123
U160_week1	131
U160_week3	122
U161_week1	109
U161_week3	107
U162_week1	119
U162_week3	134
U163_week1	166
U163_week3	151
U164_week1	131
U165_week1	126
U165_week3	100
U166_week3	138
U167_week1	104
U167_week3	95
U168_week1	128
U168_week3	88
U169_week1	126
U169_week3	127
U171_week1	80
U171_week3	70
U172_week1	118
U172_week3	103
U174_week1	90
U174_week3	90
U176_week3	110
U177_week1	124
U177_week3	103
U178_week1	119
U179_week3	96
U180_week1	117
U180_week3	108
U181_week1	108
U181_week3	124
U182_week1	102
U182_week3	98
U184_week1	114
U184_week3	103
U185_week1	158
U185_week3	160
U186_week1	117
U186_week3	118
U187_week1	85
U188_week1	147
U188_week3	124
U189_week1	95
U190_week1	132
U190_week3	129
U191_week1	150
U192_week1	160
U192_week3	179
U193_week1	104
U194_week1	121
U195_week1	99
U195_week3	95
U196_week1	82
U196_week3	88
U197_week1	131
U198_week1	90
U198_week3	87
U199_week1	110
U199_week3	124
U200_week1	171
U200_week3	135
U201_week1	117
U201_week3	92
U202_week1	148
U202_week3	123
U210_week1	157
U210_week3	127
U211_week1	146
U211_week3	137
U212_week1	94
U213_week1	123
U213_week3	151
U214_week1	95
U214_week3	99
U216_week1	107
U216_week3	89
U217_week1	110
U217_week3	114
U218_week1	100
U219_week1	113
U219_week3	101
U220_week1	118
U220_week3	133
U221_week1	132
U222_week1	130
U222_week3	135
U223_week1	135
U224_week1	123
U224_week3	145
U225_week1	96
U225_week3	77
U226_week1	78
U226_week3	41
U227_week1	92
U227_week3	94
U228_week3	131
U229_week1	75
U229_week3	121
U230_week1	169
U230_week3	159
U231_week1	115
U231_week3	108
U232_week1	87
U232_week3	87
U233_week1	84
U233_week3	128
U234_week1	99
U234_week3	105
U235_week1	139
U235_week3	136
U237_week1	117
U237_week3	124
U238_week1	121
U242_week1	135
U242_week3	143
U243_week1	109
U243_week3	107
U246_week1	160
U246_week3	114
U247_week1	130
U247_week3	133
U248_week1	139
U248_week3	134
U249_week1	109
U249_week3	101
U250_week1	87
U250_week3	84
U252_week1	118
U252_week3	121
U253_week1	95
U253_week3	117
U254_week1	87
U255_week1	116
U255_week3	101
U256_week1	93
U257_week1	98
U257_week3	112
U258_week1	146
U258_week3	164
U259_week3	140
U260_week1	100
U261_week1	122
U261_week3	108
U262_week1	94
U263_week1	154
U264_week1	66
U264_week3	82
U265_week1	141
U265_week3	130
U266_week1	40
U266_week3	55
U267_week1	128
U267_week3	154
U268_week1	110
U268_week3	105
U269_week1	145
U269_week3	109
U270_week1	105
U270_week3	126
U271_week1	141
U271_week3	128
U272_week1	145
U272_week3	141
U273_week1	125
U273_week3	110
U274_week1	115
U274_week3	111
U275_week1	153
U275_week3	146
U276_week1	106
U276_week3	103
U277_week1	87
U277_week3	102
U279_week1	83
U279_week3	101
U280_week1	156
U280_week3	140
U281_week1	145
U281_week3	143
U282_week1	72
U282_week3	72
U283_week1	159
U283_week3	154
U284_week1	121
U284_week3	127
U285_week1	141
U285_week3	140
U286_week1	126
U286_week3	113
U288_week1	118
U288_week3	103
U290_week1	132
U290_week3	134
U291_week1	98
U291_week3	92
U292_week1	105
U292_week3	99
U294_week1	123
U294_week3	130
U295_week1	99
U295_week3	111
U296_week1	116
U296_week3	98
U297_week1	102
U297_week3	105
U299_week1	104
U299_week3	103
U300_week1	139
U300_week3	120
U301_week1	143
U301_week3	152
U302_week1	88
U302_week3	98
U310_week1	122
U310_week3	121
U311_week1	100
U311_week3	93
U312_week1	96
U312_week3	82
U314_week1	99
U314_week3	93
U315_week1	95
U315_week3	99
U316_week1	94
U316_week3	97
U317_week1	111
U317_week3	113
U318_week1	133
U318_week3	124
U322_week1	107
U322_week3	101
U323_week1	104
U323_week3	92
U325_week1	105
U326_week1	85
U327_week1	88
U327_week3	95
U328_week1	66
U328_week3	77
U329_week1	83
U329_week3	99
U331_week1	68
U331_week3	73
U332_week1	93
U332_week3	75
U333_week1	66
U333_week3	38
U334_week1	105
U334_week3	104
U335_week1	79
U335_week3	82
U336_week1	83
U336_week3	85
U337_week1	73
U337_week3	56
U338_week1	110
U338_week3	73
U339_week1	75
U339_week3	53
U341_week1	73
U341_week3	78
U343_week1	135
U343_week3	145
U344_week1	87
U344_week3	81
U346_week1	87
U346_week3	113
U347_week1	109
U347_week3	103
U349_week1	107
U349_week3	107
U350_week1	97
U350_week3	84
U352_week1	104
U352_week3	90
U353_week1	72
U353_week3	67
U354_week1	118
U354_week3	82
U357_week1	100
U357_week3	102
U358_week1	94
U358_week3	106
U362_week1	107
U362_week3	127
U363_week1	104
U363_week3	81
U366_week1	122
U366_week3	98
U367_week1	76
U367_week3	76
U369_week1	110
U369_week3	114
U370_week1	118
U370_week3	116
U371_week1	107
U371_week3	95
U372_week1	86
U372_week3	84
U373_week1	76
U373_week3	74
U375_week1	108
U375_week3	109
U376_week1	97
U376_week3	106
U377_week1	77
U377_week3	86
U378_week1	98
U378_week3	108
U379_week1	103
U379_week3	126
U380_week1	113
U380_week3	90
U381_week1	112
U381_week3	111
U382_week1	117
U382_week3	100
U383_week1	55
U383_week3	58
U384_week1	131
U384_week3	121
U385_week1	134
U385_week3	113
U386_week1	72
U386_week3	68
U387_week1	69
U387_week3	77
U388_week1	101
U388_week3	100
U389_week1	61
U389_week3	96
U390_week1	97
U390_week3	54
U391_week1	94
U391_week3	119
U392_week1	132
U392_week3	130
U393_week1	112
U393_week3	112
U394_week1	118
U395_week1	64
U395_week3	78
U396_week1	80
U396_week3	71
U397_week1	142
U397_week3	121
U398_week1	106
U398_week3	96
U399_week1	71
U399_week3	77
U500_week1	85
U500_week3	80
U501_week1	87
U501_week3	94
U502_week1	120
U502_week3	107
U503_week1	103
U503_week3	125
U504_week1	127
U504_week3	135
U506_week1	87
U506_week3	82
U507_week1	94
U507_week3	98
U508_week1	93
U508_week3	82
U509_week1	138
U509_week3	134
U510_week1	93
U510_week3	92
U511_week1	145
U511_week3	148
U512_week1	91
U512_week3	99
U513_week1	91
U513_week3	102
U514_week1	125
U516_week1	124
U516_week3	88
U517_week1	87
U517_week3	84
U518_week1	115
U518_week3	91
U519_week1	93
U519_week3	92
U520_week1	126
U520_week3	118
U521_week1	83
U521_week3	89
U522_week1	112
U523_week1	102
U523_week3	107
U524_week1	139
U524_week3	97
U525_week1	123
U525_week3	127
U526_week1	117
U526_week3	95
U527_week1	124
U527_week3	102
U528_week1	122
U528_week3	114
U529_week1	86
U529_week3	92
U530_week1	115
U530_week3	113
U531_week1	92
U532_week1	128
U532_week3	118
U533_week1	116
U533_week3	107
U534_week1	89
U534_week3	102
U535_week1	109
U535_week3	100
U536_week1	109
U536_week3	121
U540_week1	89
U540_week3	98
U541_week3	121
U542_week1	103
U542_week3	94
U543_week1	109
U543_week3	99
U545_week1	139
U545_week3	138
U546_week1	113
U546_week3	107
U547_week1	91
U547_week3	86
U548_week1	116
U548_week3	122
U549_week1	135
U549_week3	99
U550_week1	121
U550_week3	107
U551_week1	83
U551_week3	93
U552_week1	148
U552_week3	134
U553_week1	145
U553_week3	130
U554_week1	103
U554_week3	85
U555_week1	122
U555_week3	127
U556_week1	74
U556_week3	70
U557_week1	110
U557_week3	108
U558_week1	148
U558_week3	129
U559_week1	106
U559_week3	123
U561_week1	111
U561_week3	112
U562_week1	139
U562_week3	124
U563_week1	74
U563_week3	116
U564_week1	79
U564_week3	71
U565_week1	75
U565_week3	69
U566_week1	94
U567_week1	92
U567_week3	95
U568_week1	90
U568_week3	88
U569_week1	108
U570_week1	139
U570_week3	134
U571_week1	114
U571_week3	104
U572_week1	91
